title,year,duration,genre,rating,movie_url
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt
Back to the Future ,1985,1h 56min,Adventure,8.5,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt
Cinema Paradiso ,1988,2h 35min,Drama,8.5,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt
Grave of the Fireflies ,1988,1h 29min,Animation,8.5,https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt
Terminator 2: Judgment Day ,1991,2h 17min,Action,8.5,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt
Once Upon a Time in the West ,1968,2h 45min,Western,8.5,https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt
The Lion King ,1994,1h 28min,Animation,8.5,https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt
High and Low ,1963,2h 23min,Crime,8.5,https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt
The Intouchables ,2011,1h 52min,Biography,8.5,https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt
American History X ,1998,1h 59min,Drama,8.5,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt
The Prestige ,2006,2h 10min,Drama,8.5,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt
Léon: The Professional ,1994,1h 50min,Action,8.5,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt
The Pianist ,2002,2h 30min,Biography,8.5,https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt
The Departed ,2006,2h 31min,Crime,8.5,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt
The Usual Suspects ,1995,1h 46min,Crime,8.5,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt
Gladiator ,2000,2h 35min,Action,8.5,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt
Psycho ,1960,1h 49min,Horror,8.5,https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt
Seven Samurai ,1954,3h 27min,Action,8.6,https://www.imdb.com/title/tt0047478/?ref_=adv_li_tt
Whiplash ,2014,1h 46min,Drama,8.5,https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt
It's a Wonderful Life ,1946,2h 10min,Drama,8.6,https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt
Star Wars: Episode IV - A New Hope ,1977,2h 1min,Action,8.6,https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt
The Silence of the Lambs ,1991,1h 58min,Crime,8.6,https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt
Se7en ,1995,2h 7min,Crime,8.6,https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt
Avengers: Infinity War ,2018,2h 29min,Action,8.5,https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt
Life Is Beautiful ,1997,1h 56min,Comedy,8.6,https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt
The Green Mile ,1999,3h 9min,Crime,8.6,https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt
Spirited Away ,2001,2h 5min,Animation,8.6,https://www.imdb.com/title/tt0245429/?ref_=adv_li_tt
Interstellar ,2014,2h 49min,Adventure,8.6,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt
Saving Private Ryan ,1998,2h 49min,Drama,8.6,https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt
City of God ,2002,2h 10min,Crime,8.6,https://www.imdb.com/title/tt0317248/?ref_=adv_li_tt
Parasite ,2019,2h 12min,Comedy,8.6,https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt
Come and See ,1985,2h 22min,Drama,8.3,https://www.imdb.com/title/tt0091251/?ref_=adv_li_tt
Full Metal Jacket ,1987,1h 56min,Drama,8.3,https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt
Joker ,2019,2h 2min,Crime,8.6,https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt
Reservoir Dogs ,1992,1h 39min,Crime,8.3,https://www.imdb.com/title/tt0105236/?ref_=adv_li_tt
Braveheart ,1995,2h 58min,Biography,8.3,https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt
Toy Story ,1995,1h 21min,Animation,8.3,https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt
Children of Heaven ,1997,1h 29min,Drama,8.3,https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt
Good Will Hunting ,1997,2h 6min,Drama,8.3,https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt
The Bandit ,1996,2h 8min,Crime,8.3,https://www.imdb.com/title/tt0116231/?ref_=adv_li_tt
American Beauty ,1999,2h 2min,Drama,8.3,https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,Drama,8.3,https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
Amélie ,2001,2h 2min,Comedy,8.3,https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt
Requiem for a Dream ,2000,1h 42min,Drama,8.3,https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt
Ran ,1985,2h 42min,Action,8.2,https://www.imdb.com/title/tt0089881/?ref_=adv_li_tt
Inglourious Basterds ,2009,2h 33min,Adventure,8.3,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt
Snatch ,2000,1h 42min,Comedy,8.3,https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt
Die Hard ,1988,2h 12min,Action,8.2,https://www.imdb.com/title/tt0095016/?ref_=adv_li_tt
My Neighbor Totoro ,1988,1h 26min,Animation,8.2,https://www.imdb.com/title/tt0096283/?ref_=adv_li_tt
Indiana Jones and the Last Crusade ,1989,2h 7min,Action,8.2,https://www.imdb.com/title/tt0097576/?ref_=adv_li_tt
Casino ,1995,2h 58min,Crime,8.2,https://www.imdb.com/title/tt0112641/?ref_=adv_li_tt
Unforgiven ,1992,2h 10min,Drama,8.2,https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt
Heat ,1995,2h 50min,Crime,8.2,https://www.imdb.com/title/tt0113277/?ref_=adv_li_tt
L.A. Confidential ,1997,2h 18min,Crime,8.2,https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt
A Beautiful Mind ,2001,2h 15min,Biography,8.2,https://www.imdb.com/title/tt0268978/?ref_=adv_li_tt
"Lock, Stock and Two Smoking Barrels ",1998,1h 47min,Comedy,8.2,https://www.imdb.com/title/tt0120735/?ref_=adv_li_tt
Howl's Moving Castle ,2004,1h 59min,Animation,8.2,https://www.imdb.com/title/tt0347149/?ref_=adv_li_tt
Downfall ,2004,2h 36min,Biography,8.2,https://www.imdb.com/title/tt0363163/?ref_=adv_li_tt
Batman Begins ,2005,2h 20min,Action,8.2,https://www.imdb.com/title/tt0372784/?ref_=adv_li_tt
Swades ,2004,3h 9min,Drama,8.2,https://www.imdb.com/title/tt0367110/?ref_=adv_li_tt
Finding Nemo ,2003,1h 40min,Animation,8.1,https://www.imdb.com/title/tt0266543/?ref_=adv_li_tt
Catch Me If You Can ,2002,2h 21min,Biography,8.1,https://www.imdb.com/title/tt0264464/?ref_=adv_li_tt
Kill Bill: Vol. 1 ,2003,1h 51min,Action,8.1,https://www.imdb.com/title/tt0266697/?ref_=adv_li_tt
Million Dollar Baby ,2004,2h 12min,Drama,8.1,https://www.imdb.com/title/tt0405159/?ref_=adv_li_tt
Hotel Rwanda ,2004,2h 1min,Biography,8.1,https://www.imdb.com/title/tt0395169/?ref_=adv_li_tt
Into the Wild ,2007,2h 28min,Adventure,8.1,https://www.imdb.com/title/tt0758758/?ref_=adv_li_tt
Memories of Murder ,2003,2h 12min,Action,8.1,https://www.imdb.com/title/tt0353969/?ref_=adv_li_tt
Mary and Max ,2009,1h 32min,Animation,8.1,https://www.imdb.com/title/tt0978762/?ref_=adv_li_tt
No Country for Old Men ,2007,2h 2min,Crime,8.1,https://www.imdb.com/title/tt0477348/?ref_=adv_li_tt
Hachi: A Dog's Tale ,2009,1h 33min,Drama,8.1,https://www.imdb.com/title/tt1028532/?ref_=adv_li_tt
How to Train Your Dragon ,2010,1h 38min,Animation,8.1,https://www.imdb.com/title/tt0892769/?ref_=adv_li_tt
Shutter Island ,2010,2h 18min,Mystery,8.1,https://www.imdb.com/title/tt1130884/?ref_=adv_li_tt
Butch Cassidy and the Sundance Kid ,1969,1h 50min,Biography,8.0,https://www.imdb.com/title/tt0064115/?ref_=adv_li_tt
Gran Torino ,2008,1h 56min,Drama,8.1,https://www.imdb.com/title/tt1205489/?ref_=adv_li_tt
Aladdin ,1992,1h 30min,Animation,8.0,https://www.imdb.com/title/tt0103639/?ref_=adv_li_tt
Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,Adventure,8.1,https://www.imdb.com/title/tt1201607/?ref_=adv_li_tt
The Terminator ,1984,1h 47min,Action,8.0,https://www.imdb.com/title/tt0088247/?ref_=adv_li_tt
Groundhog Day ,1993,1h 41min,Comedy,8.0,https://www.imdb.com/title/tt0107048/?ref_=adv_li_tt
Акіра ,1988,2h 4min,Animation,8.0,https://www.imdb.com/title/tt0094625/?ref_=adv_li_tt
"Monsters, Inc. ",2001,1h 32min,Animation,8.0,https://www.imdb.com/title/tt0198781/?ref_=adv_li_tt
